localidad,fecha,ML,Low_90,High_90,Low_50,High_50
Barrios Unidos,2020-04-03,3.0,1.01,6.99,2.04,4.45
Barrios Unidos,2020-04-04,2.87,1.02,6.29,1.95,4.11
Barrios Unidos,2020-04-05,3.13,1.16,6.41,2.24,4.43
Barrios Unidos,2020-04-06,2.9,1.1,5.65,2.09,4.0
Barrios Unidos,2020-04-07,2.73,1.1,5.23,2.04,3.7800000000000002
Barrios Unidos,2020-04-08,2.61,1.06,4.89,1.9100000000000001,3.52
Barrios Unidos,2020-04-09,2.5,1.03,4.63,1.9000000000000001,3.42
Barrios Unidos,2020-04-10,2.25,0.9,4.19,1.61,2.99
Barrios Unidos,2020-04-11,2.22,0.88,4.1,1.69,3.0500000000000003
Barrios Unidos,2020-04-12,2.19,0.88,4.04,1.6400000000000001,2.97
Barrios Unidos,2020-04-13,2.16,0.85,3.95,1.6500000000000001,2.96
Barrios Unidos,2020-04-14,2.14,0.86,3.91,1.57,2.85
Barrios Unidos,2020-04-15,2.2600000000000002,0.96,4.0600000000000005,1.67,2.97
Barrios Unidos,2020-04-16,2.2,0.89,3.88,1.67,2.93
Barrios Unidos,2020-04-17,2.16,0.92,3.83,1.62,2.84
Barrios Unidos,2020-04-18,2.24,0.99,3.89,1.74,2.96
Barrios Unidos,2020-04-19,2.17,0.93,3.71,1.68,2.85
Barrios Unidos,2020-04-20,2.11,0.9400000000000001,3.63,1.6500000000000001,2.7800000000000002
Barrios Unidos,2020-04-21,1.96,0.8200000000000001,3.37,1.5,2.57
Barrios Unidos,2020-04-22,1.93,0.84,3.35,1.47,2.52
Barrios Unidos,2020-04-23,1.9100000000000001,0.84,3.31,1.43,2.46
Barrios Unidos,2020-04-24,1.8900000000000001,0.8200000000000001,3.25,1.48,2.5
Barrios Unidos,2020-04-25,1.86,0.8,3.19,1.43,2.43
Barrios Unidos,2020-04-26,1.84,0.8,3.16,1.45,2.44
Barrios Unidos,2020-04-27,1.82,0.8,3.13,1.3800000000000001,2.35
Barrios Unidos,2020-04-28,1.8,0.79,3.09,1.3900000000000001,2.35
Barrios Unidos,2020-04-29,1.86,0.8300000000000001,3.13,1.44,2.4
Barrios Unidos,2020-04-30,1.83,0.8300000000000001,3.09,1.41,2.35
Barrios Unidos,2020-05-01,1.81,0.81,3.0300000000000002,1.44,2.37
Barrios Unidos,2020-05-02,1.78,0.79,2.97,1.4000000000000001,2.31
Barrios Unidos,2020-05-03,1.7,0.71,2.83,1.34,2.23
Barrios Unidos,2020-05-04,1.68,0.74,2.85,1.32,2.2
